Titolo: WiFi non disponibile | Categoria: IT | Sottocategoria: Rete & ConnettivitÃ  | Team: IT | Priorità: medium
Titolo: Teams non funziona | Categoria: FINANCE | Sottocategoria: Fatturazione & Fornitori | Team: FINANCE | Priorità: medium
Titolo: Antivirus blocca programma | Categoria: IT | Sottocategoria: Tool & Applicativi | Team: IT | Priorità: high
Titolo: Problema connessione NAV | Categoria: FACILITIES | Sottocategoria: Manutenzione Negozio | Team: FACILITIES | Priorità: high
Titolo: Richiesta accesso cartella condivisa | Categoria: FACILITIES | Sottocategoria: Manutenzione Negozio | Team: FACILITIES | Priorità: medium
Titolo: Stampante non funziona | Categoria: COMMERCIAL | Sottocategoria: Promozioni | Team: COMMERCIAL | Priorità: medium
Titolo: Backup fallito | Categoria: FACILITIES | Sottocategoria: Climatizzazione & Illuminazione | Team: FACILITIES | Priorità: critical
Titolo: Scanner codici a barre rotto | Categoria: MARKETING | Sottocategoria: Materiali Promozionali | Team: MARKETING | Priorità: high
Titolo: Problema proiettore sala riunioni | Categoria: HR | Sottocategoria: Malattie & Congedi | Team: HR | Priorità: low
Titolo: WiFi non disponibile | Categoria: FINANCE | Sottocategoria: GYB  emissione fattura | Team: FINANCE | Priorità: medium
Titolo: Errore stampa scontrino | Categoria: COMMERCIAL | Sottocategoria: Richiesta Trasferimento Interno | Team: COMMERCIAL | Priorità: medium
Titolo: Errore apertura file Excel | Categoria: COMMERCIAL | Sottocategoria: Promozioni | Team: COMMERCIAL | Priorità: low
Titolo: Problema cassa | Categoria: FACILITIES | Sottocategoria: Climatizzazione & Illuminazione | Team: FACILITIES | Priorità: high
Titolo: Errore sincronizzazione OneDrive | Categoria: HR | Sottocategoria: Presenze & Turni | Team: HR | Priorità: medium
Titolo: Richiesta installazione software | Categoria: RETAIL | Sottocategoria: Cassa & Pagamenti | Team: RETAIL | Priorità: high
Titolo: Problema audio cuffie | Categoria: RETAIL | Sottocategoria: Apertura / Chiusura Negozio | Team: RETAIL | Priorità: low
Titolo: Excel si chiude da solo | Categoria: HR | Sottocategoria: Note Spese & Rimborsi | Team: HR | Priorità: medium
Titolo: Excel si chiude da solo | Categoria: RETAIL | Sottocategoria: Apertura / Chiusura Negozio | Team: RETAIL | Priorità: medium
Titolo: Problemi VPN da casa | Categoria: HR | Sottocategoria: Formazione | Team: HR | Priorità: medium
Titolo: Richiesta reset password | Categoria: INTERNO HO | Sottocategoria: Richiesta Generica | Team: IT | Priorità: high
Titolo: Errore stampa scontrino | Categoria: HR | Sottocategoria: Formazione | Team: HR | Priorità: medium
Titolo: Problema email aziendale | Categoria: INTERNO HO | Sottocategoria: Richiesta Generica | Team: IT | Priorità: low
Titolo: Richiesta nuovo mouse | Categoria: COMMERCIAL | Sottocategoria: Richiesta Trasferimento Interno | Team: COMMERCIAL | Priorità: medium
Titolo: VPN si disconnette spesso | Categoria: FINANCE | Sottocategoria: Cassa & Riconciliazione | Team: FINANCE | Priorità: critical
Titolo: Webcam non rilevata | Categoria: IT | Sottocategoria: TICKET - gestione di un ticket | Team: IT | Priorità: high
Titolo: Antivirus blocca programma | Categoria: FACILITIES | Sottocategoria: Climatizzazione & Illuminazione | Team: FACILITIES | Priorità: critical
Titolo: Excel si chiude da solo | Categoria: MARKETING | Sottocategoria: Materiali Promozionali | Team: MARKETING | Priorità: low
Titolo: Tastiera non risponde | Categoria: MARKETING | Sottocategoria: Comunicazioni Negozio | Team: MARKETING | Priorità: low
Titolo: Telefono aziendale guasto | Categoria: RETAIL | Sottocategoria: Display & Allestimento | Team: RETAIL | Priorità: low
Titolo: Excel si chiude da solo | Categoria: HR | Sottocategoria: Buste Paga & Amministrazione | Team: HR | Priorità: low
Titolo: Software gestionale bloccato | Categoria: RETAIL | Sottocategoria: Display & Allestimento | Team: RETAIL | Priorità: high
Titolo: Schermo touch non calibrato | Categoria: MARKETING | Sottocategoria: Campagne | Team: MARKETING | Priorità: low
Titolo: Stampante non funziona | Categoria: HR | Sottocategoria: Formazione | Team: HR | Priorità: medium
Titolo: Porta USB non funziona | Categoria: HEALTH & SAFETY | Sottocategoria: Segnalazione Incidente | Team: HEALTH & SAFETY | Priorità: high
Titolo: Badge non riconosciuto | Categoria: HEALTH & SAFETY | Sottocategoria: DPI & Normativa | Team: HEALTH & SAFETY | Priorità: medium
Titolo: PC si riavvia da solo | Categoria: HR | Sottocategoria: Presenze & Turni | Team: HR | Priorità: medium
Titolo: Aggiornamento Windows fallito | Categoria: HEALTH & SAFETY | Sottocategoria: Sicurezza Struttura | Team: HEALTH & SAFETY | Priorità: medium
Titolo: Richiesta secondo monitor | Categoria: COMMERCIAL | Sottocategoria: Promozioni | Team: COMMERCIAL | Priorità: medium
Titolo: Richiesta nuovo mouse | Categoria: FACILITIES | Sottocategoria: Manutenzione Negozio | Team: FACILITIES | Priorità: low
Titolo: Outlook non sincronizza | Categoria: RETAIL | Sottocategoria: Cassa & Pagamenti | Team: RETAIL | Priorità: high
Titolo: Stampante non funziona | Categoria: FINANCE | Sottocategoria: Budget & Previsioni | Team: FINANCE | Priorità: low
Titolo: Badge non riconosciuto | Categoria: HEALTH & SAFETY | Sottocategoria: Segnalazione Incidente | Team: HEALTH & SAFETY | Priorità: medium
